names,Saison 0,Saison 1,Saison 2
A. Davies,84,83,82
A. Tchouaméni,82,81,80
Ansu Fati,79,78,77
Antony,82,83,82
B. Saka,82,81,80
D. Vlahović,84,86,86
E. Camavinga,79,78,79
E. Haaland,88,87,88
E. Smith Rowe,80,83,83
F. Wirtz,82,81,80
Ferran Torres,82,82,84
J. Bellingham,84,84,86
J. Gvardiol,81,80,81
J. Musiala,81,81,81
J. Sancho,84,83,87
J. Timber,80,83,84
João Félix,84,83,82
M. Diaby,84,84,83
M. de Ligt,85,86,85
Moleiro,75,74,74
N. Schlotterbeck,82,85,84
N. Zaniolo,81,82,81
Nuno Mendes,80,80,79
P. Foden,85,84,84
Pedri,85,85,85
R. Gravenberch,79,79,79
R. James,84,83,86
Rodrygo,81,81,80
S. Tonali,84,85,85
Vinícius Jr.,86,85,84
Vitinha,79,78,77
W. Saliba,80,79,79
