First Name,Last Name,Common Name,Image Path,Club,Country
De,Paul,,player_images\De Paul.png,Atlético de Madrid,Argentina
,Pedri,Pedri,player_images\nan Pedri.png,FC Barcelona,Spain
Enzo,Fernández,,player_images\Enzo Fernández.png,Chelsea,Argentina
,,,player_images\nan nan.png,Liverpool,Netherlands
Florian,Wirtz,,player_images\Florian Wirtz_5.png,Leverkusen,Germany
Erling,Haaland,,player_images\Erling Haaland.png,Manchester City,Norway
Lionel,Messi,,player_images\Lionel Messi.png,Inter Miami CF,Argentina
Neymar,Jr,,player_images\Neymar Jr.png,Al Hilal,Brazil
,,,player_images\nan nan_2.png,FC Barcelona,Spain
,,,player_images\nan nan_3.png,FC Barcelona,Norway
,Pelé,Pelé,player_images\nan Pelé.png,EA FC ICONS,Brazil
Cristiano,Ronaldo,,player_images\Cristiano Ronaldo.png,Al Nassr,Portugal
Jeremie,Frimpong,,player_images\Jeremie Frimpong.png,Leverkusen,Netherlands
Sam,Kerr,,player_images\Sam Kerr.png,Chelsea,Australia
Alex,Morgan,,player_images\Alex Morgan.png,San Diego Wave,United States
Mohamed,Salah,,player_images\Mohamed Salah.png,Liverpool,Egypt
,Sawa,Sawa,player_images\nan Sawa.png,EA FC ICONS,Japan
,Hamm,Hamm,player_images\nan Hamm.png,EA FC ICONS,United States
,,,player_images\nan nan_4.png,Spurs,Korea Republic
Sakina,Karchaoui,,player_images\Sakina Karchaoui.png,Paris SG,France
Mallory,Swanson,,player_images\Mallory Swanson.png,Chicago Red Stars,United States
,,,player_images\nan nan_5.png,Heroes,Brazil
,Eusébio,Eusébio,player_images\nan Eusébio.png,EA FC ICONS,Portugal
David,Beckham,,player_images\David Beckham.png,EA FC ICONS,England
Philipp,Lahm,,player_images\Philipp Lahm.png,EA FC ICONS,Germany
Wes,Foderingham,,player_images\Wes Foderingham.png,West Ham,England
Julián,Álvarez,,player_images\Julián Álvarez.png,Atlético de Madrid,Argentina
,,,player_images\nan nan_6.png,Manchester Utd,Netherlands
Ferenc,Puskás,,player_images\Ferenc Puskás.png,EA FC ICONS,Hungary
Julián,Álvarez,,player_images\Julián Álvarez_2.png,Manchester City,Argentina
William,Saliba,,player_images\William Saliba.png,Arsenal,France
Bukayo,Saka,,player_images\Bukayo Saka.png,Arsenal,England
,Rivaldo,Rivaldo,player_images\nan Rivaldo.png,EA FC ICONS,Brazil
Kenny,Dalglish,,player_images\Kenny Dalglish.png,EA FC ICONS,Scotland
Dani,Olmo,,player_images\Dani Olmo.png,RB Leipzig,Spain
Jordan,Pickford,,player_images\Jordan Pickford.png,Everton,England
,,,player_images\nan nan_7.png,Liverpool,Argentina
Cole,Palmer,,player_images\Cole Palmer.png,Chelsea,England
Jonathan,David,,player_images\Jonathan David.png,LOSC Lille,Canada
,Carvajal,Carvajal,player_images\nan Carvajal.png,Real Madrid,Spain
Darwin,Núñez,,player_images\Darwin Núñez.png,Liverpool,Uruguay
